Unnamed: 0,file_name,text_summary,id,date,result,drn,link,company,area,decision
0,DRN-1074996_2020-04-15,"Mr. A's car was stolen, and the thief was convicted. However, UKI recorded the claim as a fault claim because they could not recover all costs from the third party due to lack of information from the police. The investigator and Ombudsman agree that UKI acted fairly in recording the claim as a fault claim, as it does not imply liability but reflects the inability to recover costs. Despite Mr. A's frustration, the Ombudsman cannot require UKI to amend the record to a nonfault claim. The complaint is not upheld.",DRN-1074996,2020-04-15,"Mr. A's car was stolen, and the thief was convicted. However, UKI recorded the claim as a fault claim because they could not recover all costs from the third party due to lack of information from the police. The investigator and Ombudsman agree that UKI acted fairly in recording the claim as a fault claim, as it does not imply liability but reflects the inability to recover costs. Despite Mr. A's frustration, the Ombudsman cannot require UKI to amend the record to a nonfault claim. The complaint is not upheld.",DRN-1074996,https://www.financial-ombudsman.org.uk/decision/DRN-1074996.pdf,U K Insurance Limited,Insurance,Not upheld
1,DRN-2081709_2020-08-18,"Mrs. T complained that AXA France IARD missold her payment protection insurance (PPI) in 1996. AXA denied liability, claiming Mrs. T had a fair choice to purchase the PPI and was provided with sufficient information to make an informed decision. The ombudsman considered the evidence and determined that Mrs. T likely agreed to the PPI, despite not fully understanding it. The ombudsman also found that the PPI could have been beneficial to Mrs. T, as she was eligible for coverage and had no preexisting medical conditions. Ultimately, the ombudsman did not uphold Mrs. T's complaint, concluding that she would not have acted differently even if provided with more information.",DRN-2081709,2020-08-18,"Mrs. T complained that AXA France IARD missold her payment protection insurance (PPI) in 1996. AXA denied liability, claiming Mrs. T had a fair choice to purchase the PPI and was provided with sufficient information to make an informed decision. The ombudsman considered the evidence and determined that Mrs. T likely agreed to the PPI, despite not fully understanding it. The ombudsman also found that the PPI could have been beneficial to Mrs. T, as she was eligible for coverage and had no preexisting medical conditions. Ultimately, the ombudsman did not uphold Mrs. T's complaint, concluding that she would not have acted differently even if provided with more information.",DRN-2081709,https://www.financial-ombudsman.org.uk/decision/DRN-2081709.pdf,AXA France IARD,Insurance,Not upheld
2,DRN-1645227_2020-08-12," Company S complained about errors made by HPS Limited in arranging its group private medical insurance. HPS Limited failed to include a preexisting medical condition (PEMC) and enroll a dependent on the policy. HPS Limited apologized, worked with the insurer to remove the PEMC exclusion, and offered compensation. The investigator found that HPS Limited's actions were fair and reasonable, as they rectified the errors and did not prejudice S's position with the insurer. The investigator declined to comment on S's concerns about the coverage provided by a different insurer, as that would be considered under a separate complaint.",DRN-1645227,2020-08-12," Company S complained about errors made by HPS Limited in arranging its group private medical insurance. HPS Limited failed to include a preexisting medical condition (PEMC) and enroll a dependent on the policy. HPS Limited apologized, worked with the insurer to remove the PEMC exclusion, and offered compensation. The investigator found that HPS Limited's actions were fair and reasonable, as they rectified the errors and did not prejudice S's position with the insurer. The investigator declined to comment on S's concerns about the coverage provided by a different insurer, as that would be considered under a separate complaint.",DRN-1645227,https://www.financial-ombudsman.org.uk/decision/DRN-1645227.pdf,Health and Protection Solutions Limited,Insurance,Not upheld
3,DRN-2202979_2020-11-13," Mrs. R alleges that an interestonly mortgage recommended by Ashwood Law LLP was unsuitable due to property overvaluation, lack of repayment strategy, and undisclosed consequences of selfcertifying income. Ashwood claims the lender's independent valuation was used to determine the loan amount, and that Mrs. R and her expartner were informed of the need to repay the capital. The investigator found that Ashwood had no reason to suspect Mrs. R was not acting independently, despite her claims of financial control by her expartner. The investigator determined that the mortgage was affordable and met Mrs. R's objectives of reducing debt payments and consolidating expenses. The complaint was not upheld, and Mrs. R was given until December 11, 2020 to accept or reject the decision.",DRN-2202979,2020-11-13," Mrs. R alleges that an interestonly mortgage recommended by Ashwood Law LLP was unsuitable due to property overvaluation, lack of repayment strategy, and undisclosed consequences of selfcertifying income. Ashwood claims the lender's independent valuation was used to determine the loan amount, and that Mrs. R and her expartner were informed of the need to repay the capital. The investigator found that Ashwood had no reason to suspect Mrs. R was not acting independently, despite her claims of financial control by her expartner. The investigator determined that the mortgage was affordable and met Mrs. R's objectives of reducing debt payments and consolidating expenses. The complaint was not upheld, and Mrs. R was given until December 11, 2020 to accept or reject the decision.",DRN-2202979,https://www.financial-ombudsman.org.uk/decision/DRN-2202979.pdf,Ashwood Law LLP,Mortgages,Not upheld
4,DRN-1624150_2020-05-04,"Mr. W filed a chargeback claim with Barclays after experiencing issues with work done on his vehicle by company D. Barclays initially rejected the claim due to D's offer to rectify the problems, but later mislaid Mr. W's evidence and apologized with a £25 payment. Despite Mr. W's dissatisfaction with D's service, the Ombudsman found that Barclays had acted reasonably in processing the chargeback request and that the claim would have been unsuccessful even with Mr. W's evidence. The Ombudsman awarded Mr. W £250 for the inconvenience caused by the mislaid evidence and delays.",DRN-1624150,2020-05-04,"Mr. W filed a chargeback claim with Barclays after experiencing issues with work done on his vehicle by company D. Barclays initially rejected the claim due to D's offer to rectify the problems, but later mislaid Mr. W's evidence and apologized with a £25 payment. Despite Mr. W's dissatisfaction with D's service, the Ombudsman found that Barclays had acted reasonably in processing the chargeback request and that the claim would have been unsuccessful even with Mr. W's evidence. The Ombudsman awarded Mr. W £250 for the inconvenience caused by the mislaid evidence and delays.",DRN-1624150,https://www.financial-ombudsman.org.uk/decision/DRN-1624150.pdf,Barclays Bank UK PLC,Banking and Payments,Not upheld
5,DRN-3176047_2021-12-15,"Miss D complained to the Financial Ombudsman Service about mistakes made by Society of Lloyds regarding her motor insurance policy. Lloyds failed to upload her policy details to the relevant database, leading to the police suspecting her of driving without insurance. Lloyds also mistakenly charged her a £500 fine for late reporting of the accident. The investigator recommended upholding the complaint, finding that Lloyds had acted unfairly and had not adequately compensated Miss D for her distress and inconvenience. The Ombudsman agreed, awarding Miss D £500 in compensation for the distress and inconvenience caused by Lloyds' mistakes.",DRN-3176047,2021-12-15,"Miss D complained to the Financial Ombudsman Service about mistakes made by Society of Lloyds regarding her motor insurance policy. Lloyds failed to upload her policy details to the relevant database, leading to the police suspecting her of driving without insurance. Lloyds also mistakenly charged her a £500 fine for late reporting of the accident. The investigator recommended upholding the complaint, finding that Lloyds had acted unfairly and had not adequately compensated Miss D for her distress and inconvenience. The Ombudsman agreed, awarding Miss D £500 in compensation for the distress and inconvenience caused by Lloyds' mistakes.",DRN-3176047,https://www.financial-ombudsman.org.uk/decision/DRN-3176047.pdf,Society of Lloyd's,Insurance,Upheld
6,DRN-1081199_2020-08-26,"Mrs. V's insurance claim was initially delayed due to difficulties obtaining CCTV footage. Aviva deemed the car a total loss due to the high repair costs, which Mr. V disputed. The complaint focused on whether the suspension damage warranted a total loss declaration. The investigator concluded that Aviva's decision was fair and reasonable based on the engineer's report, which indicated the suspension needed replacement. The settlement amount was also deemed appropriate, taking into account the preaccident value and damage. The complaint was not upheld.",DRN-1081199,2020-08-26,"Mrs. V's insurance claim was initially delayed due to difficulties obtaining CCTV footage. Aviva deemed the car a total loss due to the high repair costs, which Mr. V disputed. The complaint focused on whether the suspension damage warranted a total loss declaration. The investigator concluded that Aviva's decision was fair and reasonable based on the engineer's report, which indicated the suspension needed replacement. The settlement amount was also deemed appropriate, taking into account the preaccident value and damage. The complaint was not upheld.",DRN-1081199,https://www.financial-ombudsman.org.uk/decision/DRN-1081199.pdf,Aviva Insurance Limited,Insurance,Not upheld
7,DRN-3222796_2022-02-22,"Mrs. M complained about Zurich Insurance's handling of her flood claim, including issues with contractors, drainage, and storage costs. Zurich agreed to a cash settlement and investigated the claim, but Mrs. M was dissatisfied with the work carried out. The Ombudsman found that Zurich had reasonably addressed the issues within its responsibility, including considering further evidence if provided. However, Zurich was not responsible for the actions of contractors appointed after the cash settlement. The Ombudsman concluded that Zurich had acted reasonably and did not require further action.",DRN-3222796,2022-02-22,"Mrs. M complained about Zurich Insurance's handling of her flood claim, including issues with contractors, drainage, and storage costs. Zurich agreed to a cash settlement and investigated the claim, but Mrs. M was dissatisfied with the work carried out. The Ombudsman found that Zurich had reasonably addressed the issues within its responsibility, including considering further evidence if provided. However, Zurich was not responsible for the actions of contractors appointed after the cash settlement. The Ombudsman concluded that Zurich had acted reasonably and did not require further action.",DRN-3222796,https://www.financial-ombudsman.org.uk/decision/DRN-3222796.pdf,Zurich Insurance PLC,Insurance,Not upheld
8,DRN-1917278_2020-06-23,"Mr. H complained that Elevate Credit (Sunny) lent him money irresponsibly. The Ombudsman found that Sunny should have stopped lending to Mr. H after the eighth loan, as the pattern of borrowing suggested dependence. Sunny argued that the loans were affordable and Mr. H did not inform them of financial difficulties, but the Ombudsman maintained that it was Sunny's responsibility to identify dependence. Sunny offered to refund interest and charges from loan 17 onwards, but the Ombudsman directed them to refund all interest and charges from loan 8 onwards, remove the loans from Mr. H's credit file, and take a sympathetic view when agreeing on a repayment plan for loan 45.",DRN-1917278,2020-06-23,"Mr. H complained that Elevate Credit (Sunny) lent him money irresponsibly. The Ombudsman found that Sunny should have stopped lending to Mr. H after the eighth loan, as the pattern of borrowing suggested dependence. Sunny argued that the loans were affordable and Mr. H did not inform them of financial difficulties, but the Ombudsman maintained that it was Sunny's responsibility to identify dependence. Sunny offered to refund interest and charges from loan 17 onwards, but the Ombudsman directed them to refund all interest and charges from loan 8 onwards, remove the loans from Mr. H's credit file, and take a sympathetic view when agreeing on a repayment plan for loan 45.",DRN-1917278,https://www.financial-ombudsman.org.uk/decision/DRN-1917278.pdf,Elevate Credit International Limited,Consumer Credit,Upheld
9,DRN-3392770_2022-05-03,"Mr. and Mrs. A filed a complaint against Royal and Sun Alliance Insurance (RSA) for delays in sending an engineer and dissatisfaction with the engineer's work. RSA declined the claim, citing policy exclusions for wear and tear and external leaks. The ombudsman reviewed the evidence and concluded that RSA's actions were reasonable, as the issues were not covered under the policy. The ombudsman also found that RSA's offer of £100 compensation for the delay was fair. Therefore, the complaint was dismissed, and RSA was instructed to pay the compensation within 28 days.",DRN-3392770,2022-05-03,"Mr. and Mrs. A filed a complaint against Royal and Sun Alliance Insurance (RSA) for delays in sending an engineer and dissatisfaction with the engineer's work. RSA declined the claim, citing policy exclusions for wear and tear and external leaks. The ombudsman reviewed the evidence and concluded that RSA's actions were reasonable, as the issues were not covered under the policy. The ombudsman also found that RSA's offer of £100 compensation for the delay was fair. Therefore, the complaint was dismissed, and RSA was instructed to pay the compensation within 28 days.",DRN-3392770,https://www.financial-ombudsman.org.uk/decision/DRN-3392770.pdf,Royal & Sun Alliance Insurance Limited,Insurance,Not upheld
